Competency,Question,Answer,Topics,Level Of Questions
Salesforce,How do we handle errors in LWC?,"·       Server Errors: We handle exceptions in the JavaScript file. Proper error handling involves throwing exceptions, instead of using page messages.
·       Ex: throw new MyCustomException(‘Error Message');",LWC,Medium
Salesforce,How can we combine visual force and LWC?,"·       There are three steps to add a Lightning web component to a Visualforce page.
o   Add the Lightning Components for Visualforce JavaScript Library
§  Add < apex:includeLightning/> at the beginning of your Visualforce page. This component loads the JavaScript file used by Lightning Components for Visualforce.
o   Create and Reference a Visualforce page
§  Use the following JavaScript code, where theNamespace is the namespace prefix for the app. That is, either your org’s namespace, or the namespace of the managed package that provides the app.
§  Ex: $Lightning.use(“theNamespace:lwcvf”, function { } )
o   Create a Component on a Visualforce Page
§  $Lightning.createComponent() this function helps you to create a component on visualforce page.",LWC,Medium
Salesforce,List some of the styling hooks of LWC using SLDS?,"·       Salesforce Lightning Design System (SLDS) styling hooks make it easy to customize component styling and express your brand. Styling hooks provide CSS custom properties that correspond to SLDS component blueprints and design variations. To customize an SLDS style, declare a corresponding custom property in a component’s style sheet. You can use the custom properties to style base components and custom components.",LWC,Medium
Salesforce,Is there a possibility of rendering multiple templates in LWC?,"·       Yes, Although it’s possible for a component to render multiple templates, we recommend using an if:true|false directive to render nested templates conditionally instead.",LWC,Medium
Salesforce,Why Lightning Web Component is lightweight?,"·       Because the Lightning Web Components framework is built on the code which natively runs in the browser, most of the code that you write in them is standard HTML and JavaScript.
·       Unlike the Aura Component Framework, they do not need the additional resources to be loaded.",LWC,Medium
Salesforce,When do we use @api with a function or a property?,"·       When we need to expose the property or function to the container (parent) component. Then we annotate them with @api. In simple words, to create a public property or function.
·       Note: If the public property value is set by a parent it is immutable. Mean you can change the reference but cannot change the property itself.",LWC,Medium
Salesforce,How compose components are useful in LWC?,·       It is useful to compose apps and components with a set of smaller components to make the code more reusable and maintainable.,LWC,Medium
Salesforce,When the @wire method gets called?,·       Wired Apex methods get called automatically when the component is connected or every time the reactive properties are changed.,LWC,Medium
Salesforce,How are navigation services used in LWC?,"·       To use the Navigation Service in salesforce LWC:
o   Import the lightning/navigation JavaScript module into the Lightning web component.
o   Make the Lightning web component’s class extend NavigationMixin.
o   Call the Navigate method, passing the page reference of the page you want to navigate to.
o   Ex: import { NavigationMixin } from 'lightning/navigation';",LWC,Medium
Salesforce,How to ensure FLS while working with Lightning Component?,"·       Lightning Data Services already ensures Field Level Security, and we can also use into the Apex using isAccessible, isCreateable, isDeleteable, isCreateable and etc methods of Schema class.",LWC,Medium
Salesforce,What are the commands to install jest in LWC?,"·       npm install
·       npm install @salesforce/sfdx-lwc-jest --save-dev",LWC,Medium
Salesforce,What are the considerations when using renderedCallback()?,"·       Don’t update a wire adapter configuration object property in renderedCallback().
·       Don’t update a public property or field in renderedCallback().",LWC,Medium
Salesforce,What are Boolean properties in LWC?,"·       Boolean attributes on standard HTML Elements are set to true by adding the attribute to the element. The absence of the attribute defaults the attribute to false. Therefore, the default value of an attribute is always false. Lightning web components use the same principle for boolean properties.",LWC,Medium
Salesforce,What are two ways to listen an event in LWC?,"·       There are two ways to listen for an event: declaratively from the component’s HTML template, or programmatically using an imperative JavaScript API. 
·       It is better to listen from the HTML template since it reduces the amount of code you need to write. To handle events, define methods in the component’s JavaScript class.",LWC,Medium
Salesforce,What is the use of Document and Rendrer in lightning component?,"·       Document: – A description, sample code, and one or multiple references to example components
·       Client-side renderer to override default rendering for a component.",LWC,Medium
Salesforce,Can a component’s folder contain other JavaScript files?,"·       Yes, these additional JavaScript files must be ES6 modules and must have names that are unique within the component’s folder",LWC,Medium
Salesforce,What is strict mode enforcement in JavaScript?,"·       In JavaScript, strict mode is enforced in modules but optional in regular programs. However, Lightning Locker implicitly enables JavaScript strict mode everywhere. You do not need to specify ""use strict"" in your code. JavaScript strict mode makes code more secure, robust, and supportable.",LWC,Medium
Salesforce,Why is it better to use primitive values for public properties?,"·       Primitive values require specific @api properties that clearly define the data shape. Accepting an object or an array requires documentation to specify the shape. If an object shape changes, consumers break.
·       Standard HTML elements accept only primitive values for attributes. When a standard HTML element needs a complex shape, it uses child components. For example, a table element uses tr and td elements. Only primitive types can be defined in HTML. For example, <table data={...}> isn't a value in HTML, only in Lightning Web Components.",LWC,Hard
Salesforce,How many types of query selectors are there in salesforce?,"·       The querySelector() method is a standard DOM API that returns the first element that matches the selector.
·       If you are iterating over an array, consider adding some other attribute to the element, like a class or data-* value, and using it to select the desired element.
·       The querySelectorAll() method returns an array of DOM Elements.",LWC,Hard
Salesforce,Why can’t we pass Id to a query selector?,"·       When an HTML template is rendered, id values may be transformed into globally unique values. If you use an id selector in JavaScript, it won’t match the transformed id.",LWC,Hard
Salesforce,Which features are enabled when using delegatefocus in custom components?,"·       Adds focus to the native button HTML element using coolButton.focus().
·       If you click a node inside shadow DOM and the node is not a focusable area, the first focusable area becomes focused. This is similar to when you click on a label and focus jumps into an input.
·       When a node inside shadow DOM gains focus, the :focus CSS selector applies to the host in addition to the focused element.",LWC,Hard
Salesforce,What are the considerations when using custom elements specs applied to constructor ()?,"·       The first statement must be super() with no parameters. This call establishes the correct prototype chain and value for this. Always call super() before touching this.
·       Do not use a return statement inside the constructor body, unless it is a simple early return (return or return this).
·       Don’t use the document.write() or document.open() methods.
·       Do not inspect the element's attributes and children, because they don’t exist yet.
·       Do not inspect the element’s public properties, because they’re set after the component is created.",LWC,Hard
Salesforce,How to handle “No TOKEN named tokenName found” error in LDS token?,·       Either use a global token or use a custom Aura design token.,LWC,Hard
Salesforce,Which properties do not support base components?,"·       These Lightning Design System component blueprints and their CSS custom properties aren’t supported on base components.
o   Alert—The Alert component blueprint does not correspond to a base component.
o   Modal—The Modal component blueprint does not correspond to a base component.
o   Toast—The lightning/platformShowToastEvent module does not support the --sds-c-toast-* custom properties.
o   Tooltip—The lightning-helptext component does not support --sds-c-tooltip-* custom properties.",LWC,Hard
Salesforce,List some methods to look for elements that component rerenders?,"·       The order of elements is not guaranteed.
·       Elements not rendered to the DOM are not returned in the querySelector result.
·       Do not use ID selectors with querySelector. The IDs that you define in HTML templates may be transformed into globally unique values when the template is rendered. If you use an ID selector in JavaScript, it will not match the transformed ID.",LWC,Hard
Salesforce,"Why can’t we use addEventListener(eventName, this this.handleNotification.bind(this)) ?","·       It’s an anti-pattern because bind() returns a new function and thus the component can’t call removeEventListener() with the same function instance.
·       Because the component cannot use the same function instance, the listener creates a memory leak.",LWC,Hard
Salesforce,Why LWC cannot use window or document global properties to query for DOM elements?,·       A component can only traverse the DOM and access elements that it created. This behaviour prevents the anti-pattern of reaching into DOM elements owned by other components.,LWC,Hard
Salesforce,Why do we prefer getters instead of expressions?,"·       To compute a value for a property, use a JavaScript getter. For example, to convert the name to all uppercase letters, use a getter function in the JavaScript class, not an expression in the template.
·       Getters are much more powerful than expressions because they’re JavaScript functions. Getters also enable unit testing, which reduces bugs and increases fun.",LWC,Hard
Salesforce,Why do we use iterator in LWC?,"·       value—The value of the item in the list. Use this property to access the properties of the array. For example, iteratorName.value.propertyName.
·       index—The index of the item in the list.
·       first—A boolean value indicating whether this item is the first item in the list.
·       last—A boolean value indicating whether this item is the last item in the list.",LWC,Hard
Salesforce,Why key attribute is important in iteration in LWC?,"·       Every item in a list must have a key. When a list changes, the framework uses the key to identify each item so that it can rerender only the item that changed.
·       The key must be a string or a number, it can't be an object. You can’t use index as a value for key. Assign unique keys to an incoming data set. To add new items to a data set, use a private property to track and generate keys.",LWC,Hard
Salesforce,List three different adapters for mocking wire service data in jest testing in LWC?,"·       The sfdx-lwc-jest utility has three adapters for mocking wire service data: a generic wire adapter, a Lightning Data Service (LDS) wire adapter, and an Apex wire adapter.
o   The generic adapter emits data on demand when you call the emit() API. It does not include any extra information about the data itself.
o   The LDS adapter mimics Lightning Data Service behavior and includes information about the data’s properties.
o   The Apex wire adapter mimics calls to an Apex method and includes any error status.",LWC,Hard
Salesforce,How ES6 module is used as service component in LWC?,"·       To share code between components, create an ES6 module and export the variables or functions that you want to expose.
·       An ES6 module is a file that explicitly exports functionality that other modules can use. Modules make it easier to structure your code without polluting the global scope.",LWC,Hard
Salesforce,Why mocking the data is necessary in Jest testing in LWC?,"·       Your unit testing likely involves more than just an update to a simple UI element. Your code might be dependent upon the behaviour of certain dependencies, such as imported modules, base Lightning components, and event handlers.
·       But you want your code to be in a consistent environment, free from variable behaviour and timing of server calls, database requests or remote access API.",LWC,Hard
Salesforce,What is the configuration file naming convention?,"·       The configuration file follows the naming convention <component>. js-meta.xml, such as myComponent.js-meta.xml.",LWC,Hard
Salesforce,How many different levels are there for Lightning Record Page assignment? What are they?,"·       Lightning Pages can be assigned at three different levels:
o   The org defaults 
o   App default – this overrides the assignment done at the org level 
o   App, record type, profile – this overrides the assignment done at org level and at the App level.",LWC,Hard
Salesforce,List the limitations of custom Lightning Web Components?,"·       A custom Lightning web component cannot access a Lightning web component or module in a custom namespace. It can access Lightning web components and modules only in the c and lightning namespaces.
·       A custom Lightning web component and a custom Aura component in the same namespace cannot have the same name.",LWC,Hard
Salesforce,What are the considerations when using events in LWC?,"·       CustomEvent.detail
o   To communicate data to elements in the same shadow tree, don’t add myProperty into event.detail. The consumer of the event can use the event.target.myProperty.
·       Event Propagation
o   Use events configured with bubbles: false and composed: false because they are the least disruptive. These events don’t bubble up through the DOM and don’t cross the shadow boundary.",LWC,Hard
Salesforce,What are the DOM event standards?,"·       No uppercase letters
·       No spaces
·       Use underscores to separate words",LWC,Hard
Salesforce,Does salesforce Mobile SDK support Lightning Web Components?,"·       No, Salesforce Mobile SDK does not support Lightning Web Components.",LWC,Hard
Salesforce,List the naming rules of folder and files in LWC?,"·       Must begin with a lowercase letter
·       Must contain only alphanumeric or underscore characters
·       Must be unique in the namespace
·       Cannot include whitespace
·       Cannot end with an underscore
·       Cannot contain two consecutive underscores
·       Cannot contain a hyphen (dash)",LWC,Hard
Salesforce,How we can access Custom Label in Lightning?,·       Syntax: $A.get(“$Label.namespace.labelName”),LWC,Hard
Salesforce,How we can use component in the community builder?,·       Implements “forceCommunity:availableForAllPageTypes” interface on the component.,LWC,Hard
Salesforce,Can we display multiple templates?,"·       Yes, we can, we can import multiple HTML templates and write business logic that renders them conditionally. This pattern is like the code splitting used in some JavaScript frameworks.",LWC,Hard
Salesforce,How we can pass data from parent component to child component?,"·       LWC support one-way data transfer from parent to child. A non-primitive value (like an object or array) passed to a component is read-only. So, the component cannot change the content of the object or array. As a result, if the component tries to change the content, we will get errors in console.",LWC,Hard
Salesforce,How we can pass data from HTML to JS controller?,"·       We can use the onchange attribute to listen for a change to its value. When the value changes, the handleChange function in the JavaScript file executes.",LWC,Hard
Salesforce,How is lightning message service (LMS) important in lightning ecosystem?,"·       As Lightning Web Components gain wider adoption, LMS positions itself as the standard publish-subscribe library in the UI, enabling components in any part of the DOM to communicate.
·       LMS provides a standard means for Lightning Web Components to communicate with Aura Components. The fact that it speaks to Visualforce is a MAJOR plus.",LWC,Hard
Salesforce,What are the considerations when using Import statement?,"·       Salesforce supports many object or field suffixes to represent different types of data. Lightning Web Components supports the import of references to standard objects, as well as the import of references to custom objects (__c) only.",LWC,Hard
Salesforce,What are the different namespaces for importing of person accounts?,"·       A __pc field represents a person account, which stores information about an individual person by combining certain account and contact fields into a single record. 
·       Every custom field created in the Contact object is available for person accounts in the Account object using the __pc suffix, but this syntax does not work in an import statement.
·       Instead of importing a __pc field from the Account object, import the custom field from the Contact object to get the benefits of referential integrity.",LWC,Hard
Salesforce,What are the considerations for importing references for some external objects?,"·       External Objects
o   An __x suffix represents an external custom object, which is like a custom object, except that it maps to data that’s stored outside your Salesforce org.
o   To retrieve data from an external custom object, call a method in an Apex class that gets the data with a SOQL query.",LWC,Hard
Salesforce,How is lightning out used in salesforce?,"·       Lightning Out is a feature that extends Lightning Apps. It acts as a bridge to surface Lightning Components in any remote web container.
·       This means you can use your Lightning Components inside of an external site (i.e., SharePoint or SAP), in a hybrid app built with the Mobile SDK, or even elsewhere in the App Cloud like on Heroku or in a Visualforce Page.",LWC,Hard
Salesforce,"After Summer 19 release, all the properties are reactive by default, then why do we need to use @track decorator?","·       After Summer 19 releases all primitive data types are reactive by default, but the objects and arrays are reactive if only if their references are changed.
·       For example, the component will not rerender if a single element of an array is changed or the object's property is changed.
·       To overcome this, we need to use the @track annotation with objects and arrays.",LWC,Hard
Salesforce,Which interface should you use if you want to override a standard action?,·       You will need to use the Lightning:actionOverride interface.,LWC,Hard
Salesforce,Where do you Link a Namespace to a Dev Hub Org?,"·       From the App Launcher menu, select Namespace Registries.",LWC,Hard
Salesforce,Why do we use expressions in salesforce?,"·       It is used to make calculations and access the data within component mark up. Use expressions for dynamic output.
·       Syntax: {! expression} Ex: {! v. courseName}
·       Note: This syntax is only used in mark up (.app or .cmp files), but in JavaScript use string syntax to evaluate an expression (“v.courseName”).",LWC,Hard
Salesforce,How many types of expressions are there in salesforce?,"·       Different types of expressions are as follows:
o   Bound Expression: Whenever the value is changed, the expression will reflect the change and affect that value in the component. This is dynamic change.
§  Syntax: {! value}
o   Unbound Expression: Whenever the value is changed, the expression will not reflect the change and static value will be displayed in the component. This is static in nature.
§  Syntax: {# value}",LWC,Hard
Salesforce,List some of the unsupported experiences and tool for LWC?,"·       Salesforce Console APIs (Navigation Item API, Workspace API, Utility Bar API)
·       URL Addressable Tabs
·       Conversation Toolkit API, Omni Toolkit API, Quick Action API
·       Standard Action Overrides, Custom Actions, Global Actions, List View Actions, Related List View Actions
·       Chatter Extensions",LWC,Hard
Salesforce,Why Bubbling and composed events are not recommended in event propagation?,"·       Bubbling and composed events are not recommended because they bubble up the entire DOM tree, across shadow boundaries, and through parent components (unless stopped). If you configure an event with bubbles: true and composed: true, the event type becomes part of the component’s public API. It also forces the consuming component and all of its ancestors to include the event as part of their APIs.",LWC,Hard
Salesforce,What is the purpose of Debug Mode in Salesforce?,"·       By enabling debug mode, JavaScript is directly rendered in the browser rather than minified version.
·       Debug mode also adds more detailed output for some warnings and errors. As with production mode, custom component code is not optimized or minified.",LWC,Hard
Salesforce,How to detect record change in Salesforce Server by LWC?,"·       Fetch record updates for the specified record IDs and refresh the Lightning Data Service cache, providing your wires with the latest record data. 
·       Call getRecordNotifyChange(recordIds) to notify Lightning Data Service that a record has changed outside its mechanisms, such as via imperative Apex or Visualforce, or by calling User Interface API via a third-party framework.",LWC,Hard
Salesforce,What is View State error?  ," As VF pages uses multiple Server call, So while Doing server calls we needs to maintain the state of VF page so that Values should be maintained on Page after server calls, as HTTP used for server call is state less So salesforce have created a viewState so that we can store our required data of page in order to maintain state. As Salesforce is multitenant Architecture they keep a limit for View state which is 170KB. Previously it was 135KB. ",Vf Pages,Easy
Salesforce,How to Resolve View State error? ," In Order to Resolve View State, we should use below solution:    Use Transient keyword for variable which is not supposed to store value in it after server call, Query required Field in List which is going to use on VF page, Clear the List after its use, Don’t use Get;Set; or Public for Variable which is not going to use on Page, Minimize Number of Forms on a Page. ",Vf Pages,Easy
Salesforce,What is difference between Action Function and Action Support? ," Difference between both:  Action function can call the controller method from java script. Action function cannot add AJAX support to another component. But from a particular component which already has AJAX support(onclick, onblur etc) action function can be called to call the controller method.             Action support adds AJAX support to another visualforce component and then call the controller method. ",Vf Pages,Medium
Salesforce,What is Action Pollar? , A timer that sends an AJAX update request to the server according to a time interval that you specify. The update request can then result in a full or partial page update.  ,Vf Pages,Hard
Salesforce,I want to Insert a record on load of VF page how will I do that?  ," We can’t insert record in constructor of VF page nor we can insert it in a method and call that method from constructor, DML is not allowed in constructor, if you want to perform any DML on page load, you can call ApexMethod on Page tag, which is call every time when page load, but this comes under Salesforce security issue, but with proper explanation of use cases in products they allowed it. ",Vf Pages,Medium
Salesforce,I want to display half page as a input form where user can insert details and half as PDF in VF how will I do that? ," we can use two Page tag on one VF Page in first Page tag we need to add form attribute with desired inputField/inputText as per requirement, and in second page we have to renderAs “PDF” so that all inside second page tag will display as PDF on page. ",Vf Pages,Hard
Salesforce,We can use controller extension to add custom functionalities in standard controllers then why there is need of custom controller?,Standard controller executes in user mode and controller extension and custom controller executes functionalities in system mode. So depending on requirement we can choose the controllers.,Vf Pages,Medium
Salesforce,How many controllers in a visual force page can be used?,One controller and as many extension controllers can be used in a Visualforce page.,Vf Pages,Easy
Salesforce,Difference between PageBlockTable and DataTable? ,"PageBlockTable:  PageBlockTable should be define inside pageblock or pageblocksection.                PageBlockTable uses standard styles sheets to design a visual page.           It has the required attribute ""value"".               Column headers will be displayed automatically.                                                 DataTable: No need to write inside pageblock or pageblocksection.                                                       There is no required value.                                          The data can be displayed using custom style sheets.                                                                               We need to specify column headers explicitly. ",Vf Pages,Medium
Salesforce,What is standard controller? Why we need custom Controller? ,"A StandardController object that is automatically provided for standard and all custom objects, bindable to a Visualforce page component with the “standardController” attribute. It provides a reference to a single/list of record to a set of common actions for data processing and default navigation.                                 A custom controller is an Apex class that implements all of the logic for a page without leveraging a standard controller. Use custom controllers when you want your Visualforce page to run entirely in system mode, which does not enforce the permissions and field-level security of the current user. ",Vf Pages,Medium
Salesforce,"If I put ""renderas"" attribute as ""PDF"" then it displays PDF document, But i want the same in MSword format. Then how you will do this? ","<apex:page contentType=""application/msWord"" cache=""true"">                                          <!-- Begin Default Content REMOVE THIS -->                                                   <h1>Congratulations</h1>                         This is your new Page                                <apex:form>                                               <apex:pageBlock>                                   <apex:commandButton value=""Button"" action=""{!method1}""/> </apex:pageBlock> </apex:form>    <!-- End Default Content REMOVE THIS -->    </apex:page>                                    Without ""cache"" attribute also it works, But in some browsers it doesn't work without ""cache"" attribute. ",Vf Pages,Hard
Salesforce,What are the types of bindings available in Visualforce? ,"Using get; set in apex, we can bind variables in visual force.               ex: public String textdemo{get;set;} // in apex                                                           <apex:input text value=”{!textdemo}”>   Using methods in controller                    Ex: <apex:selectlist value=”textdemo”>    <apex:selectoptions value=”listt”/>        </apex:selectoptions>                               //In apex                                                       Public List<Account> getlistt(){                    Return [select Id,Name from Account]; \\ returns list                                                     } ",Vf Pages,Medium
Salesforce,What are Getter and Setter Methods? ,Use the getter method when you need to pass the value from the controller to the Visualforce page. And when you need to move back to the controller then use the setter method. ,Vf Pages,Easy
Salesforce,How many Controllers can be Used in the Visualforce page? ,"It is possible to use only one controller, but multiple controller extensions can be used in a Visualforce page. ",Vf Pages,Easy
Salesforce,Difference between < apex:inputText / > Vs < apex:inputField / > ? ,inputField - copy the field from any object and display on a VF page | like copy paste work.                                                                     inputText - it will help to create a field from scratch | new creation ,Vf Pages,Hard
Salesforce,What is the difference between Ajax and ActionPoller? ,ActionPoller is the clock in Apex that enables an AJAX refresh demand to be sent to the server as is instructed by a period interim that the developer determines. ,Vf Pages,Hard
Salesforce,How to get the value from controller variable to the VF page?,By getter method we can get the value from controller variable to the VF page.,Vf Pages,Easy
Salesforce, How can we access the value of an attribute?,We use the value provider ‘v’ to access the value from the attribute. Like -  {!v.attrname} or{#v.attributename}.,Vf Pages,Easy
Salesforce,How to set the value from VF page to the controller variable?,By setter method we can set the value from VF page to the controller variable.,Vf Pages,Easy
Salesforce,When should you use Custom Controller over Standard Controller? ,"Custom Controllers can be used to add new functionality or override the standard functionality of a standard controller which appears on a Visualforce page.                                      Also, custom controllers execute entirely in system mode, in which the object and field-level permissions of the current user are ignored.",Vf Pages,Medium
Salesforce,"When will you use render, rerender and renderas attributes of visualforce?","render-This attribute is used to display a particular filed or section based on boolean value.                                                                                     rerender- This is to reload some fields, or sections after some operation. Advantage of it is that the whole page is not refreshed and only a portion (the one which is rerendered) is refreshed.                renderas- This is to render a VF page as PDF or some other format.",Vf Pages,Medium
Salesforce,When should an Extension be used instead of a Custom Controller?,"A controller extension is an Apex class that extends the functionality of a standard or custom controller. Controller extensions can be used when:You want to leverage the built-in functionality of a standard controller but override one or more actions, such as edit, view, save, or delete.                                                         You want to add new actions.                      You want to build a Visualforce page that respects user permissions. Although a controller extension class executes in system mode, if a controller extension extends a standard controller, the logic from the standard controller does not execute in system mode. Instead, it executes in user mode, in which permissions, field-level security, and sharing rules of the current user apply.                     On other hand Custom controllers can be used when you want your Visualforce page to run entirely in system mode, which does not enforce the permissions and field-level security of the current user.",Vf Pages,Hard
Salesforce,What is S-Control? ,S-Controls are the predominant salesforce.com widgets that are completely based on JavaScript. These are hosted by salesforce but executed at the client-side. S-Controls are superseded by Visualforce now. ,Vf Pages,Hard
Salesforce,What is Visualforce?,"Visualforce is a framework that allows developers to build sophisticated, custom user interfaces that can be hosted natively on the Lightning platform. The Visualforce framework includes a tag-based markup language, similar to HTML, and a set of server-side “standard controllers” that make basic database operations, such as queries and saves, very simple to perform.                                 In the Visualforce markup language, each Visualforce tag corresponds to a coarse or fine-grained user interface component, such as a section of a page, a related list, or a field. The behavior of Visualforce components can either be controlled by the same logic that is used in standard Salesforce pages, or developers can associate their own logic with a controller class written in Apex.",Vf Pages,Easy
Salesforce,What is a Visualforce Page?,"Developers can use Visualforce to create a Visualforce page definition. A page definition consists of two primary elements:                                  Visualforce markup                                                              A Visualforce controller                                                     Visualforce Markup: Visualforce markup consists of Visualforce tags, HTML, JavaScript, or any other Web-enabled code embedded within a single <apex:page>  tag. The markup defines the user interface components that should be included on the page, and the way they should appear.                                                                              Visualforce Controllers: A Visualforce controller is a set of instructions that specify what happens when a user interacts with the components specified in associated Visualforce markup, such as when a user clicks a button or link. Controllers also provide access to the data that should be displayed in a page, and can modify component behavior.",Vf Pages,Easy
Salesforce,Where Can Visualforce Pages Be Used?,"Developers can use Visualforce pages to:          Override standard buttons, such as the New button for accounts, or the Edit button for contacts                                                                             Override tab overview pages, such as the Accounts tab home page                                                Define custom tabs                                                           Embed components in detail page layouts                    Create dashboard components or custom help pages                                                                                   Customize, extend, or integrate the sidebars in the Salesforce console (custom console components)                                                                        Add navigation menu items and actions in the Salesforce mobile app",Vf Pages,Medium
Salesforce,If you want to work with VisualForce editor then how to enable it?,"For this purpose, you need to access the user details page and enable the ‘development mode’ option there to use the Visualforce Editor.",Vf Pages,Easy
Salesforce,Is there anything beyond standard controllers or custom APEX code?,"Yes, there certain cases when you need to go beyond controllers or custom APEX code. Take an example where you have to access data or actions beyond standard controllers, you need special APIs for this purpose.",Vf Pages,Hard
Salesforce,Differentiate between a custom controller and the controller extensions?,"There are some similarities and differences between the two controllers. Let us see how they resemble each other and in what aspect are they different? Both allow custom objects, custom data sets, and custom actions. They help in leveraging existing data and actions within a standard controller. What is the difference? The Custom controller should contain all data and actions within a page that will be executed later. At the same time, controller extensions allow data or auctioned that is extended in the form of buttons, links, custom overrides etc.",Vf Pages,Medium
Salesforce,What is the meaning of Properties when you use Controllers?,"With the help of Properties, you may allow creating standard getters or setters automatically and still, they are available for customization. The major benefit of Properties is that you don’t have to write tedious code for hours and secondly you don’t have to read clutters while reviewing the code.",Vf Pages,Medium
Salesforce,Explain the concept of the MVC paradigm in VisualForce?,"VisualForce pages are rendered over the server displayed to a client browser. The framework is based on a traditional MVC paradigm where Model, View, and controller are defined in three separate layers. As shown in the diagram below, the Model will define either SObjects or APEX classes. ‘View’ will define pages and components. And controller comprises of Standard or Custom APEX Code. ",Vf Pages,Medium
Salesforce,Define different ways how VisualForce pages are created in Salesforce?,There are two popular ways to create a VisualForce Page in Salesforce –                                   Method 1 - Go to the Setup Option on the top then click on Setup -> Develop -> Build -> Pages -> Create a new page. Now enter the name for the page and Save it.                                                                  Method 2 – There is one VisualForce editor where you have to write /apex/page name at the URL and you are ready to create a fresh page in Visualforce.,Vf Pages,Hard
Salesforce,Is it generally important to know Apex to make Visualforce pages? At the point when does it end up important?,"No, it isn’t generally fundamental. You can utilize standard controllers and VF part labels to achieve a considerable amount. The apex ends up essential when you require either a custom data set or custom activities to be accessible from the page.",Vf Pages,Hard
Salesforce,Describe the use of $component in VF.,"Use the  $Component global variable to simplify referencing the DOM ID that is generated for a Visualforce component, and reduce some of the dependency on the overall page structure.",Vf Pages,Hard
Salesforce,What is VF tag ID?,"Every Visualforce tag has an id  attribute. The id  attribute for a tag can be used by another tag to bind the two tags together. For example, the <apex:outputLabel>  tag’s for   attribute can be used with the <apex:inputField> tag's id  attribute. In addition to being used to bind Visualforce components together, this ID is used to form part of the document object model (DOM) ID for the component when the page is rendered.                                            To refer to a Visualforce component in JavaScript or another Web-enabled language, you must specify a value for the id  attribute for that component. A DOM ID is constructed from a combination of the id attribute of the component and the id  attributes of all components that contain the element.",Vf Pages,Hard
Salesforce,What is Live Controller (Pilot)?,"Live controller is a standard Visualforce component that dynamically refreshes a Visualforce page to display changes to data in real time. It works only in Lightning Experience. When you have a Lightning page that contains both Lightning components and Visualforce pages, use live controller to ensure that your Visualforce page's data is up-to-date. With live controller, your Visualforce pages automatically refresh the way your Lightning components do with Lightning Data Service.                                                               Live controller uses Lightning Data Service and Visualforce's rerender function to update data on a Visualforce page. When a Visualforce page is embedded on a Lightning page, live controller notifies the Visualforce page to rerender when Lightning Data Service detects an update to a record. The rerender function generates the new Visualforce page UI with the latest data server-side. It then inserts the new Visualforce page into the DOM, replacing the stale component.",Vf Pages,Hard
Salesforce,Tell us something about Visualforce Maps and its components.,"Maps communicate information more clearly than mere location data. Visualforce mapping components make it simple to create maps that use third-party mapping services. Visualforce maps are interactive, JavaScript-based maps, complete with zooming, panning, and markers based on your Salesforce or other data. Create standalone map pages, maps that you can insert into page layouts, and even mobile maps for the Salesforce app.                                               Visualforce provides a set of related mapping components. The <apex:map> component defines the map canvas, including size, type, center point, and initial zoom level. The <apex:mapMarker> child component defines the markers to place on the map by address or geolocation (latitude and longitude). You can use the <apex:mapInfoWindow> component to add customizable information panels that appear when a marker is clicked or tapped.",Vf Pages,Hard
Salesforce,Working of Visualforce Maps.,"Maps that you define in Visualforce markup generate JavaScript code to render onto the page. This JavaScript connects to a mapping service and builds the map by fetching map tiles and placing markers. If your items to be mapped don’t have a latitude and longitude, Visualforce maps can geocode their addresses. After the map renders, your users can interact with the map by panning and zooming, just like they’re used to with other map sites. The effect is as if you wrote your own custom JavaScript to interact with a third-party mapping service, but without actually needing to write it. You define the map in Visualforce and get the mapping JavaScript for free.",Vf Pages,Hard
Salesforce,What is lightning out? How can we use a lightning component in VF page?,"Lightning Out is a feature that extends Lightning Apps. It acts as a bridge to surface Lightning Components in any remote web container. This means you can use your Lightning Components inside of an external site (i.e. SharePoint or SAP), in a hybrid app built with the Mobile SDK, or even elsewhere in the App Cloud like on Heroku or in a Visualforce Page.                       Using the Lightning Out JavaScript libraries you can embed Lightning Components in an app across domains and manage interactions between the component and the app directly in the DOM.                                                                         Use this steps in the development to leverage lightning out in vf page –                                              1. Extend ltng:outApp in the application first.            2. Add apex:includeLightning tag in the page.          3.$Lightning.use() method in JavaScript is used to refer Lightning Application which extends ltng:outApp.                                                                      4. $Lightning.createComponent is used to create Lightning Component dynamically.                          5. Call $Lightning.use() multiple times on a page if needed, but all calls must reference the same Lightning dependency app.",Vf Pages,Hard
Salesforce,What is bound and unbound expression?,"Bound Expression: Bound Expression is represented as {!v.str}. Whenever the value of the string is changed, this expression will reflect the change and also affect the components where it is used, we can say the value change dynamically through this expression.                     Unbound Expression: Unbound Expression is represented as {#v.str}. Whenever the value of the string is changed, this expression will not reflect the change, we can say the value remains static through this expression.",Vf Pages,Medium
Salesforce,What are the tasks of standard controller?,"Standard controllers provides the ability to access and interact with structured business data contained in records displays in the proper user interface.                                                                        Standard controller tasks: controlling data, controlling actions and controlling navigation",Vf Pages,Easy
